userId,date,pageViews,totalHits,sessionNumber,purchaseValue,trafficSource.adContent,trafficSource.adwordsClickInfo.isVideoAd,trafficSource.adwordsClickInfo.page,trafficSource.adwordsClickInfo.adNetworkType,trafficSource.adwordsClickInfo.slot,browser,deviceType,geoNetwork.region,trafficSource.medium,totals.visits
29769,20161210,1.0,1,1,0.0,,,,,,Chrome,desktop,Catalonia,referral,1
81414,20170518,1.0,1,1,0.0,,,,,,Chrome,desktop,(not set),(none),1
31052,20170209,1.0,1,2,0.0,,,,,,Edge,desktop,not available in demo dataset,referral,1
85731,20160924,3.0,3,3,0.0,,,,,,Chrome,desktop,not available in demo dataset,organic,1
25362,20170301,25.0,31,5,167930000.0,,,,,,Chrome,desktop,not available in demo dataset,referral,1
90052,20161202,1.0,1,1,0.0,,,,,,Chrome,desktop,not available in demo dataset,referral,1
110764,20180305,5.0,8,2,0.0,,,,,,Chrome,desktop,New York,(none),1
101086,20160922,1.0,1,1,0.0,,,,,,Firefox,desktop,not available in demo dataset,organic,1
40432,20171021,1.0,1,2,0.0,,,,,,Chrome,mobile,not available in demo dataset,organic,1
54993,20170803,13.0,16,2,178600000.0,,,,,,Chrome,desktop,not available in demo dataset,organic,1
3014,20161209,143.0,196,3,342620000.0,,,,,,Chrome,desktop,not available in demo dataset,(none),1
21066,20160805,11.0,11,1,45000000.0,,,,,,Chrome,desktop,not available in demo dataset,organic,1
104727,20170124,3.0,3,1,0.0,,,,,,Safari (in-app),mobile,not available in demo dataset,(none),1
60924,20170601,4.0,5,1,0.0,,,,,,Safari,mobile,Ile-de-France,organic,1
89605,20160923,1.0,1,1,0.0,,,,,,Chrome,desktop,not available in demo dataset,referral,1
64303,20170509,2.0,2,1,0.0,,,,,,Safari,mobile,not available in demo dataset,referral,1
100174,20160901,2.0,2,1,0.0,,,,,,Safari,desktop,not available in demo dataset,referral,1
68280,20170827,1.0,1,2,0.0,Google Merchandise Store,False,1.0,Content,RHS,Safari,mobile,not available in demo dataset,cpc,1
3117,20180228,1.0,1,1,0.0,,,,,,Chrome,desktop,Buenos Aires,(none),1
64696,20171211,27.0,39,1,52770000.0,,,,,,Chrome,desktop,New York,(none),1
73402,20160914,1.0,1,1,0.0,,,,,,Opera Mini,mobile,(not set),organic,1
55858,20161218,28.0,35,2,17580000.0,,,,,,Chrome,desktop,California,(none),1
48404,20161023,1.0,1,1,0.0,,,,,,Safari,desktop,not available in demo dataset,referral,1
45489,20180209,1.0,1,1,0.0,,,,,,Chrome,desktop,County Dublin,(none),1
92411,20161005,1.0,1,1,0.0,,,,,,Safari,desktop,Mexico City,referral,1
54132,20180320,8.0,8,1,0.0,,,,,,Chrome,mobile,Bavaria,organic,1
121867,20170616,1.0,1,1,0.0,,,,,,Chrome,desktop,North Carolina,(none),1
15586,20180221,10.0,12,1,0.0,,,,,,Chrome,desktop,not available in demo dataset,(none),1
121205,20160808,42.0,60,1,161650000.0,,,,,,Chrome,desktop,Michigan,(none),1
41471,20170302,3.0,3,1,0.0,,,,,,Chrome,mobile,not available in demo dataset,referral,1
83310,20170625,1.0,1,1,0.0,,,,,,Internet Explorer,desktop,not available in demo dataset,referral,1
43770,20170414,25.0,26,1,32980000.0,,,,,,Chrome,desktop,not available in demo dataset,organic,1
112285,20170712,1.0,1,1,0.0,,,,,,Safari,mobile,California,organic,1
79975,20180131,1.0,1,2,0.0,Placement Accessores 300 x 250,,,,,Chrome,mobile,New York,cpc,1
1773,20180307,6.0,10,1,0.0,,,,,,Safari,mobile,Leiria District,organic,1
55804,20171228,47.0,63,2,43980000.0,Google Merchandise Collection,False,1.0,Google Search,Top,Chrome,desktop,not available in demo dataset,cpc,1
52848,20170721,4.0,4,7,0.0,,,,,,Chrome,desktop,Ontario,organic,1
